Brand, Processor, RAM, OS , Display, Touch, Price 
Asus,AMDAPUQuad,4,64bitWindows,15.6,0,19990
HP,IntelCorei3,4,DOSOperatingSystem,15.6,0,27490
Acer,IntelAtomQuad,2,64bitWindows,10.1,1,11990
Lenovo,IntelCorei5,8,DOSOperatingSystem,15.6,0,41990
Lenovo,IntelCorei3,4,DOSOperatingSystem,15.6,0,26490
Acer,IntelCeleronDual,2,Linux/UbuntuOperatingSystem,15.6,0,15990
HP,IntelPentiumQuad,4,DOSOperatingSystem,15.6,0,21990
Apple,IntelCorei5,8,64bitMac,13.3,0,56990
Lenovo,IntelCorei5,8,64bitWindows,14,0,42990
HP,AMDAPUQuad,4,64bitWindows,15.6,0,25490
MSI,IntelCorei5,4,DOSOperatingSystem,15.6,0,33990
Dell,IntelPentiumQuad,4,Linux/UbuntuOperatingSystem,15.6,0,21975
HP,IntelCorei5,8,DOSOperatingSystem,15.6,0,42990
HP,IntelCorei3,8,DOSOperatingSystem,15.6,0,31990
Dell,IntelCorei3,4,Linux/UbuntuOperatingSystem,14,0,27490
Lenovo,IntelCorei3,4,64bitWindows,15.6,0,31990
Dell,IntelCorei3,4,64bitWindows,14,0,33990
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,72990
Lenovo,AMDAPUDual,4,DOSOperatingSystem,15.6,0,18890
Dell,IntelCorei5,8,64bitLinux/Ubuntu,15.6,0,42990
Lenovo,AMDAPUDual,4,DOSOperatingSystem,15.6,0,19990
Lenovo,IntelPentiumQuad,4,64bitWindows,15.6,0,22990
HP,IntelCorei3,4,64bitDOS,15.6,0,31041
Lenovo,IntelCorei3,4,DOSOperatingSystem,15.6,0,31490
Lenovo,IntelCorei7,8,64bitWindows,15.6,0,64990
Dell,IntelCorei5,8,64bitWindows,15.6,0,69990
Acer,AMDAPUDual,4,64bitLinux/Ubuntu,15.6,0,18899
HP,AMDAPUDual,4,DOSOperatingSystem,15.6,0,19990
Dell,IntelCorei5,4,64bitWindows,15.6,0,43990
Microsoft,IntelCorei5,4,64bitWindows,12.3,1,60490
Dell,IntelCorei7,8,64bitWindows,15.6,0,81490
Dell,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,29990
Lenovo,IntelCorei3,8,64bitWindows,15.6,0,38990
Asus,IntelCorei3,4,64bitWindows,15.6,0,29990
Acer,IntelPentiumQuad,4,Windows10Operating,14,0,21990
Lenovo,IntelCorei5,4,64bitWindows,15.6,0,42990
Acer,IntelCorei7,16,64bitWindows,15.6,0,120990
Acer,IntelPentiumQuad,4,Linux/UbuntuOperatingSystem,15.6,0,20990
Acer,IntelCeleronDual,4,64bitWindows,15.6,0,20499
Acer,IntelCorei5,8,Linux/UbuntuOperatingSystem,15.6,0,35990
Dell,AMDAPUDual,4,Linux/UbuntuOperatingSystem,15.6,0,20990
Microsoft,IntelCorem3,4,64bitWindows,12.3,1,49990
Acer,IntelCorei7,8,64bitWindows,15.6,0,87999
Micromax,IntelAtomQuad,2,32bitWindows,11.6,0,10999
Lenovo,IntelCorei5,8,64bitWindows,14.1,0,63990
Acer,IntelPentiumQuad,4,64bitWindows,11.6,1,25990
Dell,AMDAPUDual,4,Linux/UbuntuOperatingSystem,15.6,0,21990
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,45990
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,25990
Lenovo,IntelCorei7,16,64bitWindows,15.6,0,78990
HP,IntelCorei3,4,64bitWindows,14,1,54290
HP,IntelCorei3,4,64bitWindows,15.6,0,33379
HP,IntelCorei3,4,64bitWindows,15.6,0,32990
Acer,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,25990
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,50990
Lenovo,IntelCorei5,16,64bitWindows,15.6,0,63990
Acer,IntelCorei5,8,Linux/UbuntuOperatingSystem,15.6,0,38990
Acer,IntelPentiumQuad,4,64bitWindows,11.6,1,28990
Apple,IntelCorei5,8,64bitMac,13.3,0,92500
RDP,IntelAtomQuad,2,32bitWindows,11.6,1,13499
HP,IntelCorei5,4,DOSOperatingSystem,15.6,0,40990
Dell,IntelCorei5,8,64bitWindows,15.6,0,62990
HP,IntelCorei3,4,64bitDOS,15.6,0,28490
Lenovo,IntelCorei5,4,64bitWindows,14,1,58990
Dell,IntelCorei5,8,64bitWindows,15.6,0,62990
Acer,AMDAPUDual,4,64bitWindows,15.6,0,24999
Dell,IntelCorei5,4,Linux/UbuntuOperatingSystem,15.6,0,38990
HP,IntelCorei3,4,64bitWindows,14,0,33890
Dell,IntelCorei5,8,64bitWindows,15.6,0,57990
HP,IntelPentiumQuad,4,DOSOperatingSystem,15.6,0,22985
HP,IntelCorei7,16,64bitWindows,15.6,0,90073
MSI,IntelCorei7,16,DOSOperatingSystem,15.6,0,83990
Lenovo,IntelCorei5,8,64bitWindows,14,0,57990
Acer,AMDAPUDual,4,64bitLinux/Ubuntu,15.6,0,21250
HP,IntelCorei5,8,64bitWindows,15.6,0,55990
Acer,IntelCorei7,8,64bitWindows,15.6,0,109990
Acer,IntelCeleronDual,2,64bitWindows,15.6,0,19990
Lenovo,IntelCorei3,4,64bitWindows,15.6,0,30490
HP,IntelCorei3,4,64bitWindows,13.3,0,52990
Dell,IntelCorei5,8,64bitWindows,13.3,1,67490
Dell,IntelCorei5,8,64bitWindows,15.6,0,69990
Dell,IntelCorei7,16,64bitWindows,15.6,0,78990
HP,Latest8thGen,8,64bitWindows,13.3,1,74990
Dell,IntelCoreM,4,64bitWindows,11.6,1,29990
Lenovo,IntelCorei5,8,64bitWindows,13,1,90595
Asus,IntelCorei3,4,DOSOperatingSystem,15.6,0,31990
Acer,IntelCorei5,4,64bitLinux/Ubuntu,15.6,0,33500
Acer,IntelCorei3,4,64bitWindows,12,1,48990
HP,IntelCorei5,8,64bitWindows,15.6,0,46980
RDP,IntelAtomQuad,2,64bitWindows,11.6,0,10499
Dell,IntelCorei7,8,64bitWindows,15.6,0,60990
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,64715
Asus,IntelCorei3,4,EndlessOperatingSystem,15.6,0,32639
Lenovo,IntelCorei3,4,DOSOperatingSystem,15.6,0,26490
Lenovo,IntelCorei5,8,DOSOperatingSystem,15.6,0,41990
Acer,IntelCorei5,8,64bitWindows,15.6,0,99990
Dell,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,33290
Acer,IntelCeleronDual,2,64bitWindows,11.6,0,18690
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,26999
HP,IntelCorei7,8,64bitWindows,14,1,82990
HP,IntelCorei5,8,64bitWindows,14,1,72290
Asus,IntelCorei7,8,64bitWindows,15.6,0,74990
Dell,IntelCorei5,8,64bitWindows,15.6,0,63990
HP,IntelCorei7,8,64bitWindows,14,0,82990
HP,IntelCorei7,8,64bitWindows,15.6,0,66990
MSI,IntelCorei7,16,64bitWindows,15.6,0,119990
HP,IntelCorei3,4,DOSOperatingSystem,14,0,29690
Lenovo,IntelAtomQuad,4,64bitWindows,10.1,1,49990
MSI,IntelCorei7,4,DOSOperatingSystem,15.6,0,53990
Asus,IntelCorei7,8,EndlessOperatingSystem,15.6,0,69990
Acer,AMDAPUQuad,4,64bitWindows,15.6,0,33790
HP,IntelCorei5,4,64bitWindows,13.3,1,66938
Lenovo,IntelCorei7,8,64bitWindows,15.6,0,58990
Acer,IntelCorei5,8,64bitWindows,15.6,1,74990
Dell,IntelPentiumQuad,4,64bitWindows,11.6,1,32990
Dell,IntelCorei3,4,64bitWindows,13.3,1,56990
Acer,AMDAPUQuad,4,64bitWindows,15.6,0,21990
Acer,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,26790
Lava,IntelAtomQuad,2,64bitWindows,12.5,0,12999
Asus,IntelCorei7,8,64bitWindows,13.3,1,97900
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,14,0,34990
HP,IntelCoreM,4,64bitWindows,12,1,69990
Micromax,IntelAtomQuad,2,32bitWindows,11.6,1,18999
Lenovo,IntelPentiumQuad,4,64bitWindows,15.6,0,28890
Lenovo,IntelCorei3,4,64bitWindows,15.6,0,38990
Reach,IntelCorei5,8,64bitDOS,13.3,0,29999
HP,IntelCorei3,4,64bitDOS,14,0,30399
Lenovo,IntelCorei3,8,64bitWindows,15.6,0,37970
HP,IntelCorei5,4,DOSOperatingSystem,14,0,55980
HP,IntelCeleronDual,4,DOSOperatingSystem,15.6,0,23048
HP,IntelCorei3,4,64bitWindows,14,0,34000
venturer,IntelAtomQuad,2,32bitWindows,10.1,1,12999
Dell,IntelPentiumQuad,4,DOSOperatingSystem,15.6,0,23990
Lenovo,IntelCorei3,4,64bitDOS,15.6,0,30490
Venturer,IntelAtomQuad,2,32bitWindows,10.1,1,12999
Dell,IntelCorei5,4,64bitWindows,15.6,0,58990
Lenovo,IntelCorei3,4,64bitDOS,15.6,0,30490
HP,IntelCorei5,4,DOSOperatingSystem,14,0,44890
Acer,IntelCorei5,4,64bitWindows,15.6,0,42999
HP,IntelCorei5,4,64bitWindows,15.6,0,56990
HP,IntelCorei7,8,64bitWindows,15.6,0,99990
Acer,IntelCeleronDual,2,Linux/UbuntuOperatingSystem,15.6,0,18990
HP,AMDAPUDual,4,64bitWindows,14,0,40199
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,33999
Asus,IntelCorei7,8,64bitLinux/Ubuntu,15.6,0,72999
Acer,IntelCorei5,4,64bitWindows,15.6,0,43990
Lenovo,IntelCorei3,4,64bitDOS,15.6,0,29650
HP,IntelCorei7,16,64bitWindows,13.3,1,159990
Asus,IntelCorei3,4,64bitDOS,15.6,0,29999
HP,IntelCorei5,8,64bitWindows,15.6,0,97990
MSI,IntelCorei7,8,DOSOperatingSystem,15.6,0,79990
Asus,IntelCorei5,4,64bitDOS,15.6,0,45490
Asus,IntelCorei3,4,64bitWindows,15.6,0,33990
Asus,IntelCorei3,4,64bitWindows,15.6,0,32990
Lenovo,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,32990
Lenovo,IntelPentiumQuad,4,64bitDOS,15.6,0,26990
Lenovo,IntelCorei7,8,64bitWindows,14,1,97990
Dell,IntelCorei5,8,64bitWindows,15.6,0,60000
Dell,IntelCorei3,4,64bitWindows,13.3,1,53500
Dell,IntelCorei5,8,64bitWindows,15.6,0,61500
Iball,IntelAtomQuad,2,32bitWindows,10.1,1,12000
Dell,IntelCorei5,8,64bitWindows,15.6,1,71990
Acer,IntelCorei5,4,64bitWindows,15.6,0,44499
Dell,IntelCorei5,8,64bitWindows,15.6,0,62000
Lenovo,IntelCorei5,4,64bitWindows,14,1,60390
Asus,IntelCorei3,4,64bitDOS,15.6,0,27990
Acer,IntelCeleronDual,2,64bitWindows,11.6,0,18690
MSI,IntelCorei7,16,64bitWindows,15.6,0,129990
Asus,IntelCorei3,4,64bitDOS,15.6,0,28090
Asus,IntelCorei5,8,64bitWindows,15.6,0,59999
Dell,IntelCorei5,8,64bitWindows,15.6,0,64640
Dell,IntelCorei3,4,64bitWindows,15.6,0,34790
Dell,IntelCorei3,4,64bitDOS,15.6,0,31000
Asus,IntelCorei5,4,64bitDOS,15.6,0,45649
Dell,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,29890
Asus,IntelCorei3,4,64bitWindows,15.6,0,33678
Fujitsu,IntelCorei3,8,64bitDOS,15.6,0,27000
Asus,IntelCorei3,4,64bitDOS,15.6,0,30796
Asus,IntelCorei7,8,64bitWindows,15.6,0,86990
Asus,IntelCorei3,4,64bitDOS,15.6,0,34650
Asus,IntelCorei3,4,64bitWindows,15.6,0,36990
Asus,IntelCorei3,4,64bitWindows,15.6,0,33540
Asus,IntelCorei5,8,64bitDOS,15.6,0,48990
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,59450
MSI,IntelCorei7,8,64bitWindows,15.6,0,82900
Acer,IntelCorei3,4,Linux/UbuntuOperatingSystem,15.6,0,26999
HP,IntelCorei5,16,64bitWindows,15.6,0,70990
HP,IntelCorei3,4,64bitWindows,14,0,34990
HP,IntelCorei3,4,64bitWindows,14,0,58500
Asus,IntelCorei3,4,64bitDOS,15.6,0,28483
Iball,IntelCeleronDual,3,64bitWindows,14,0,14300
Iball,IntelAtomProcessor,2,32bitWindows,11.6,0,11999
HP,IntelCorei5,4,DOSOperatingSystem,15.6,0,38490
HP,IntelCorei5,8,64bitWindows,15.6,0,56970
HP,IntelCorei3,4,64bitWindows,15.6,0,36490
Dell,AMDAPUQuad,4,64bitWindows,15.6,0,26500
Dell,IntelCorei7,16,64bitWindows,15.6,1,74999
Acer,AMDAPUDual,4,64bitWindows,15.6,0,21299
HP,IntelCorei5,4,64bitWindows,15.6,0,41490
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,45980
Lava,IntelAtomQuad,2,64bitWindows,12.5,0,12999
Lava,IntelAtomQuad,2,64bitWindows,12.5,0,12999
Dell,IntelCorei7,16,64bitWindows,15.6,0,89490
Dell,IntelCorei7,8,64bitWindows,13.3,1,73499
HP,IntelCeleronDual,4,64bitWindows,15.6,0,23875
Acer,IntelCeleronDual,2,64bitWindows,11.6,0,18390
Dell,IntelCorei3,4,64bitDOS,15.6,0,30489
Asus,IntelCorei7,8,64bitWindows,15.6,0,69960
Asus,IntelCorei3,4,DOSOperatingSystem,15.6,0,27299
Asus,IntelCorei3,4,64bitWindows,15.6,0,31990
HP,IntelAtomQuad,4,64bitWindows,10.1,1,30610
Asus,IntelCorei5,8,64bitWindows,15.6,0,61990
Dell,IntelCorei5,8,64bitWindows,13.3,1,114990
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,59000
HP,IntelCorei5,4,64bitWindows,15.6,0,41750
MSI,IntelCorei7,8,64bitWindows,15.6,0,109599
HP,IntelCorei5,4,64bitWindows,14,0,68500
Dell,IntelCorei7,8,64bitWindows,15.6,0,94500
Apple,IntelCorei7,16,64bitMac,15,0,218990
Dell,IntelCorei7,8,64bitWindows,12.38,1,85000
Iball,IntelAtomQuad,2,64bitWindows,14,0,13800
Asus,IntelCorei3,4,64bitDOS,15.6,0,28090
Asus,IntelCorei5,4,DOSOperatingSystem,15.6,0,36490
Asus,IntelCorei7,8,64bitDOS,15.6,0,56990
Asus,IntelCorei5,8,64bitWindows,15.6,0,59999
Dell,IntelCorei5,8,64bitWindows,15.6,0,64640
Dell,IntelCorei3,4,64bitWindows,15.6,0,34790
Dell,IntelCorei3,4,64bitDOS,15.6,0,31000
Asus,IntelCorei5,4,64bitDOS,15.6,0,45649
Dell,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,29890
Asus,IntelCorei3,4,64bitWindows,15.6,0,33678
HP,IntelCorei5,4,64bitWindows,15.6,0,43790
Asus,IntelCorei3,4,64bitDOS,15.6,0,30796
Fujitsu,IntelCorei3,8,64bitDOS,15.6,0,27000
Asus,IntelCorei7,8,64bitWindows,15.6,0,86990
Asus,IntelCorei3,4,64bitDOS,15.6,0,34650
Asus,IntelCorei3,4,64bitWindows,15.6,0,36990
Asus,IntelCorei3,4,64bitWindows,15.6,0,33540
Asus,IntelCorei7,8,64bitWindows,15.6,0,69990
Asus,IntelCorei5,8,64bitDOS,15.6,0,48990
Iball,IntelAtomProcessor,2,32bitWindows,11.6,0,11999
HP,IntelCorei3,4,64bitWindows,11.6,1,39999
HP,IntelCorei3,4,DOSOperatingSystem,15.6,0,30990
HP,IntelCorei5,8,DOSOperatingSystem,15.6,0,43780
Reach,IntelCeleronDual,4,32bitDOS,14,0,14999
HP,IntelCorei3,4,64bitWindows,15.6,0,35990
Asus,IntelCorei5,8,64bitEndless,15.6,0,46980
Acer,IntelAtomQuad,2,64bitWindows,10.1,0,13940
HP,AMDAPUQuad,4,DOSOperatingSystem,15.6,0,26480
Dell,IntelCorei3,4,64bitWindows,15.6,0,32690
HP,AMDAPUQuad,4,64bitDOS,15.6,0,21999
HP,IntelCorei3,4,64bitWindows,15.6,0,36490
Dell,IntelCorei5,4,64bitWindows,15.6,0,48500
Dell,IntelCorei5,8,64bitWindows,13.3,1,59990
Asus,IntelCorei3,4,64bitDOS,15.6,0,27499
Dell,IntelCorei3,4,64bitWindows,15.6,0,36392
Asus,IntelCorei5,8,64bitWindows,14,0,77000
RDP,IntelAtomQuad,2,32bitWindows,14.1,0,12999
HP,IntelCorei3,4,64bitDOS,14,0,29990
HP,IntelCorei5,8,DOSOperatingSystem,14,0,47280
HP,IntelPentiumQuad,4,DOSOperatingSystem,15.6,0,24990
RDP,IntelAtomQuad,2,32bitDOS,14.1,0,11999
Lava,IntelAtomQuad,2,64bitWindows,14.1,0,14999
Dell,IntelCorei3,4,64bitWindows,15.6,0,34590
Asus,IntelCorei5,8,64bitEndless,15.6,0,45490
Dell,IntelCorei3,4,64bitDOS,15.6,0,30489
Asus,IntelCorei7,8,64bitWindows,15.6,0,69960
Asus,IntelCorei3,4,DOSOperatingSystem,15.6,0,27299
Asus,IntelCorei3,4,64bitWindows,15.6,0,31990
HP,IntelAtomQuad,4,64bitWindows,10.1,1,30610
Asus,IntelCorei5,8,64bitWindows,15.6,0,61990
Dell,AMDAPUQuad,8,64bitWindows,15.6,0,38990
Dell,IntelCorei5,8,64bitWindows,13.3,1,114990
Acer,AMDAPUDual,4,64bitLinux/Ubuntu,15.5,0,20299
Lenovo,IntelCorei5,8,64bitWindows,15.6,0,59000
HP,IntelCorei5,4,64bitWindows,15.6,0,41750
MSI,IntelCorei7,8,64bitWindows,15.6,0,109599
Apple,IntelCorei5,8,64bitMac,13.3,0,154999
Lenovo,IntelCorei5,4,DOSOperatingSystem,15.6,0,41000
HP,IntelCorei5,8,64bitWindows,14,0,59077
HP,IntelCorei3,8,64bitWindows,15.6,0,42199
Apple,IntelCorei5,4,MacOSOperating,13.3,0,94150
Dell,IntelCorei3,4,64bitWindows,14.1,1,34990
Dell,IntelCorei7,16,64bitWindows,15.6,0,78990
Apple,IntelCorei5,8,MacOSOperating,13.3,0,104698
AGB,IntelCorei7,8,64bitWindows,15.6,0,78790
AGB,IntelCorei7,8,64bitWindows,15.6,0,87500
HP,IntelCorei7,16,64bitWindows,15.6,0,119990
Asus,IntelCorei7,8,64bitLinux/Ubuntu,15.6,0,79990
MSI,IntelCorei7,8,64bitWindows,17.3,0,205000
MSI,IntelCorei7,8,64bitWindows,17.13,0,165000
Dell,IntelCorei7,8,64bitWindows,15.6,0,59989
MSI,IntelCorei7,8,64bitDOS,15.6,0,76990
HP,IntelCorei5,8,64bitWindows,15.6,0,61500
Lenovo,IntelCorei5,4,64bitWindows,15.6,0,48990
MSI,IntelCorei7,8,DOSOperatingSystem,15.6,0,69990
Iball,IntelAtomQuad,2,64bitWindows,10.1,1,14999
Dell,IntelCorei7,8,64bitWindows,15.6,0,70499
AGB,IntelCorei7,8,64bitWindows,14,0,79700
MSI,IntelCorei7,8,64bitWindows,15.6,0,84990
Acer,IntelCorei5,8,64bitWindows,15.6,0,72990
HP,IntelCorei3,8,DOSOperatingSystem,15.6,0,36900
Lenovo,IntelCorei5,4,64bitWindows,14,1,54990
Dell,IntelCorei5,8,64bitWindows,15.6,0,59990
HP,IntelCorei5,8,64bitWindows,15.6,0,56999
Acer,AMDAPUQuad,4,64bitLinux/Ubuntu,15.6,0,23140
Dell,IntelCorei5,8,64bitWindows,15.6,1,67900
Dell,IntelCeleronDual,2,64bitWindows,11.49,1,24490
Acer,IntelCorei5,4,Linux/UbuntuOperatingSystem,15.6,0,38999
Dell,IntelCorei3,4,64bitLinux/Ubuntu,15.6,0,31000
Dell,IntelCorei7,8,64bitWindows,13.3,1,79990
Dell,IntelCorei7,8,64bitWindows,15.6,0,64990
